Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
0;0;0;5;1;4;54;3;1;0;1;0
28;840;15;70;3;1;4;24;2;1;0;0
0;0;0;0;0;0;0;0;0;0;1;0
10;80;55;16;1;3;1;4;1;1;0;0
19;469;55;45;2;3;19;12;1;1;0;0
3;47;0;20;0;1;3;69;0;1;0;1
9;181;30;18;0;1;1;8;1;1;0;0
0;10;0;0;0;0;0;0;0;1;0;0
8;583;67;65;0;0;1;15;1;1;0;0
5;48;2;6;4;1;2;1;83;0;1;0
0;1;0;2;0;0;0;0;0;0;1;0
0;19;0;1;0;0;1;0;0;0;1;0
18;371;56;55;4;3;6;31;1;1;0;0
17;93;29;16;3;2;1;15;2;1;0;0
33;67;26;64;1;3;5;34;1;1;0;0
16;69;2;13;1;0;1;48;1;1;0;1
11;396;30;34;1;2;2;18;1;1;0;0
5;7;2;5;0;0;1;1;1;1;0;1
22;63;13;72;6;4;1;30;1;1;0;0
1;1;0;0;0;0;1;1;0;1;0;0
7;10;0;14;0;1;1;3;1;0;1;0
0;1;0;0;0;0;0;0;0;0;1;0
0;0;0;0;2;1;102;5;1;0;1;0
4;8;1;2;0;0;2;0;0;0;0;0
37;164;4;56;0;0;2;23;1;1;0;0
0;3;0;0;0;0;0;1;7;1;0;0
16;1061;2;22;1;2;5;12;1;1;0;0
5;1;0;118;0;0;1;6;0;0;1;1
14;251;1;30;0;0;1;4;0;0;0;0
0;0;0;0;0;1;48;2;46;0;1;0
0;1;0;1;0;5;20;0;17;0;1;0
10;83;0;15;0;1;1;4;1;1;0;0
7;23;1;7;0;0;1;1;0;0;0;1
581;406;173;3734;0;1;5;105;1;1;0;0
9;15;1;4;0;0;1;7;1;1;0;0
15;591;0;27;2;4;3;9;5;0;1;0
0;5;0;2;0;0;0;2;0;1;0;0
8;222;64;34;1;2;2;14;1;1;0;0
52;418;6;101;2;3;4;35;1;1;0;0
7;35;1;11;1;0;1;4;1;0;1;0
30;643;5;48;2;0;4;17;1;1;0;0
15;167;2;16;0;1;1;17;1;1;0;0
6;28;8;4;0;0;1;1;0;1;0;1
0;1;0;0;4;4;110;0;3;0;1;0
12;79;20;39;2;1;1;19;1;1;0;0
12;4;4;16;0;2;4;1;1;0;0;0
5;35;10;6;0;0;1;3;1;1;0;0
1;7;0;0;2;3;30;8;1;1;0;0
2;56;6;5;0;0;1;1;1;1;0;0
9;36;637;18;1;1;1;7;1;1;0;0
3;43;1;3;0;0;7;13;2;1;0;0
10;1;1;22;0;2;1;3;1;1;0;0
0;1;0;0;0;0;0;0;0;0;1;0
23;254;65;29;5;1;2;39;1;1;0;0
15;21;10;35;0;2;1;1;0;0;1;1
0;18;2;5;0;1;3;2;1;1;0;0
0;0;0;1;3;1;17;0;1;0;1;0
28;174;7;29;2;1;2;18;1;1;0;0
2;12;5;13;0;0;0;1;0;1;0;0
0;1;0;0;5;3;104;0;55;0;1;0
0;5;1;0;0;0;0;1;0;0;1;0
20;579;44;31;1;2;1;16;1;1;0;0
7;340;104;16;0;0;16;6;1;1;0;0
62;1584;7;234;3;9;6;69;1;1;0;0
3;136;9;15;0;0;1;2;1;0;1;0
6;12;69;8;0;0;1;4;1;1;0;0
0;24;0;0;1;0;1;0;0;1;0;0
4;1;7;102;0;0;0;0;0;1;0;0
0;0;0;0;1;2;4;1;1;0;1;0
0;2;509;0;0;0;1;0;1;1;0;0
10;48;1;24;1;0;2;4;1;1;0;1
2;48;164;9;0;0;1;1;1;1;0;0
1;45;5;11;0;0;1;2;1;1;0;0
7;1;0;9;0;2;2;2;1;0;1;0
0;2;1;0;0;0;1;0;1;1;0;0
0;1;0;1;0;0;0;2;0;1;0;0
